frequency,usertype,spend,eatin,clean,variety,quality,location,speed,healthy,price,friendly,hours,type,live,mealplan,gender,class,college,bclean,bvariety,bquality,blocation,bspeed,bhealthy,bprice,bfriendly,bhours,id
1 to 2 times,Light user,$5 to $9,1,4,4,5,4,4,5,5,4,3,Mexican,On-Campus,Yes,Female,Junior,BUSN,1,1,1,1,1,1,1,1,0,1
1 to 2 times,Light user,Less than $5,1,5,1,5,2,2,3,4,3,3,Mexican,Commuter,No,Female,Junior,EDUC,1,0,1,0,0,0,1,0,0,2
0 times,Non-user,$5 to $9,2,4,2,4,4,4,5,4,4,2,Mexican,Off-Campus,No,Female,Senior,EDUC,1,0,1,1,1,1,1,1,0,3
1 to 2 times,Light user,$5 to $9,1,4,4,5,2,5,3,5,4,2,Burgers,On-Campus,Yes,Male,Sophomore,ARTSC,1,1,1,0,1,0,1,1,0,4
3 to 5 times,Heavy User,$10 or more,1,5,4,5,2,5,4,5,4,5,Mexican,On-Campus,Yes,Female,Sophomore,OTH,1,1,1,0,1,1,1,1,1,5
1 to 2 times,Light user,$10 or more,7,4,5,4,5,3,1,5,3,5,Mexican,On-Campus,Yes,Female,Freshman,ARTSC,1,1,1,1,0,0,1,0,1,6
3 to 5 times,Heavy User,$5 to $9,2,3,2,2,4,3,2,4,3,5,Mexican,On-Campus,Yes,Female,Freshman,OTH,0,0,0,1,0,0,1,0,1,7
1 to 2 times,Light user,Less than $5,3,5,3,5,3,3,5,3,4,3,Mexican,On-Campus,Yes,Female,Junior,OTH,1,0,1,0,0,1,0,1,0,8
3 to 5 times,Heavy User,Less than $5,4,3,2,3,4,3,1,5,3,3,Mexican,On-Campus,Yes,Female,Sophomore,EDUC,0,0,0,1,0,0,1,0,0,9
1 to 2 times,Light user,$5 to $9,1,5,5,5,5,3,5,5,3,2,Burgers,Off-Campus,No,Female,Senior,OTH,1,1,1,1,0,1,1,0,0,10
1 to 2 times,Light user,$10 or more,3,5,3,3,3,3,3,1,1,3,Mexican,On-Campus,Yes,Female,Junior,BUSN,1,0,0,0,0,0,0,0,0,11
1 to 2 times,Light user,$5 to $9,7,4,4,5,4,4,3,4,4,3,Mexican,Off-Campus,Yes,Female,Senior,ARTSC,1,1,1,1,1,0,1,1,0,12
1 to 2 times,Light user,$5 to $9,1,4,4,5,3,4,4,4,3,4,Mexican,Off-Campus,No,Female,Senior,BUSN,1,1,1,0,1,1,1,0,1,13
1 to 2 times,Light user,$5 to $9,5,4,3,4,3,5,1,4,2,4,Mexican,On-Campus,Yes,Male,Junior,BUSN,1,0,1,0,1,0,1,0,1,14
1 to 2 times,Light user,$5 to $9,5,4,3,3,4,3,2,3,3,3,Burgers,On-Campus,Yes,Male,Sophomore,OTH,1,0,0,1,0,0,0,0,0,15
