id,feat,price,choice,brand,income
1,No,8.1000004,No,Dannon,51.5
1,No,6.0999999,No,Hiland,51.5
1,No,7.9000006,Yes,Weight,51.5
1,No,10.8,No,Yoplait,51.5
2,No,9.7999992,Yes,Dannon,64.75
2,No,6.4000001,No,Hiland,64.75
2,No,7.5000005,No,Weight,64.75
2,No,10.8,No,Yoplait,64.75
3,No,9.7999992,Yes,Dannon,68.75
3,No,6.0999999,No,Hiland,68.75
3,No,8.6000004,No,Weight,68.75
3,No,10.8,No,Yoplait,68.75
4,No,9.7999992,Yes,Dannon,49.75
4,No,6.0999999,No,Hiland,49.75
4,No,8.6000004,No,Weight,49.75
4,No,10.8,No,Yoplait,49.75
5,No,9.7999992,Yes,Dannon,59.25
5,No,4.9000001,No,Hiland,59.25
5,No,7.9000006,No,Weight,59.25
5,No,12.5,No,Yoplait,59.25
6,No,9.1999998,Yes,Dannon,61.5
6,No,5,No,Hiland,61.5
6,No,7.9000006,No,Weight,61.5
6,No,10.8,No,Yoplait,61.5
7,No,8.1000004,Yes,Dannon,55
7,No,4.9000001,No,Hiland,55
7,No,7.9000006,No,Weight,55
7,No,10.3,No,Yoplait,55
8,No,8.6000004,No,Dannon,61.75
8,No,5.4000001,No,Hiland,61.75
8,No,7.9000006,Yes,Weight,61.75
8,No,10.8,No,Yoplait,61.75
9,No,9.7999992,No,Dannon,99.75
9,No,5,No,Hiland,99.75
9,No,7.9000006,No,Weight,99.75
9,No,10.8,Yes,Yoplait,99.75
10,No,9.7999992,No,Dannon,102
10,No,5,No,Hiland,102
10,No,7.9000006,No,Weight,102
10,No,10.8,Yes,Yoplait,102
11,No,9.7999992,No,Dannon,52
11,No,5,No,Hiland,52
11,No,7.9000006,No,Weight,52
11,No,10.8,Yes,Yoplait,52
12,No,9.7999992,No,Dannon,82.25
12,No,5,No,Hiland,82.25
12,No,7.9000006,No,Weight,82.25
12,No,10.8,Yes,Yoplait,82.25
13,No,8.1000004,No,Dannon,74.75
13,No,5,No,Hiland,74.75
13,No,8.6000004,Yes,Weight,74.75
13,No,10.8,No,Yoplait,74.75
14,No,8.1000004,No,Dannon,57.5
14,No,5,No,Hiland,57.5
14,No,8.6000004,Yes,Weight,57.5
14,No,10.8,No,Yoplait,57.5
15,No,8.1000004,No,Dannon,58
15,No,5,No,Hiland,58
15,No,7.9000006,Yes,Weight,58
15,No,10.8,No,Yoplait,58
16,No,8.1000004,No,Dannon,47
16,No,5,No,Hiland,47
16,No,7.9000006,Yes,Weight,47
16,No,10.8,No,Yoplait,47
17,No,8.1000004,No,Dannon,65
17,No,5,No,Hiland,65
17,No,7.9000006,Yes,Weight,65
17,No,10.8,No,Yoplait,65
18,No,8.1000004,No,Dannon,52.75
18,No,5,No,Hiland,52.75
18,No,7.9000006,Yes,Weight,52.75
18,No,10.8,No,Yoplait,52.75
19,No,8.1000004,No,Dannon,65.5
19,No,5,No,Hiland,65.5
19,No,7.9000006,Yes,Weight,65.5
19,No,10.8,No,Yoplait,65.5
20,No,8.1000004,No,Dannon,48.5
20,No,5,No,Hiland,48.5
20,No,8.1000004,Yes,Weight,48.5
20,No,10.8,No,Yoplait,48.5
21,No,8.1000004,No,Dannon,46
21,No,5,No,Hiland,46
21,No,7.9000006,Yes,Weight,46
21,No,10.8,No,Yoplait,46
22,No,8.1000004,No,Dannon,50.25
22,No,5,No,Hiland,50.25
22,No,7.9000006,Yes,Weight,50.25
22,No,10.8,No,Yoplait,50.25
23,No,8.1000004,No,Dannon,58.25
23,No,5,No,Hiland,58.25
23,No,7.9000006,Yes,Weight,58.25
23,No,10.8,No,Yoplait,58.25
24,No,8.1000004,No,Dannon,42.5
24,No,5,No,Hiland,42.5
24,No,8.1000004,Yes,Weight,42.5
24,No,10.8,No,Yoplait,42.5
25,No,8.1000004,No,Dannon,46.75
25,No,5,No,Hiland,46.75
25,No,7.9000006,Yes,Weight,46.75
25,No,11.2,No,Yoplait,46.75
26,No,8.1000004,No,Dannon,57
26,No,5,No,Hiland,57
26,No,7.9000006,Yes,Weight,57
26,No,11.2,No,Yoplait,57
27,No,8.1000004,No,Dannon,63
27,No,5,No,Hiland,63
27,No,7.9000006,Yes,Weight,63
27,No,11.2,No,Yoplait,63
28,No,8.1000004,No,Dannon,90.5
28,No,5,No,Hiland,90.5
28,No,8.1000004,Yes,Weight,90.5
28,No,10.8,No,Yoplait,90.5
29,No,4.9000001,Yes,Dannon,19.5
29,No,6.0999999,No,Hiland,19.5
29,No,7.9000006,No,Weight,19.5
29,No,11,No,Yoplait,19.5
30,No,4.4000001,Yes,Dannon,30.25
30,No,4.9000001,No,Hiland,30.25
30,No,7.9000006,No,Weight,30.25
30,No,10.3,No,Yoplait,30.25
31,No,4.4000001,Yes,Dannon,41.75
31,No,4.9000001,No,Hiland,41.75
31,No,7.9000006,No,Weight,41.75
31,No,10.3,No,Yoplait,41.75
32,No,9.5,No,Dannon,37.5
32,No,5.7999997,No,Hiland,37.5
32,No,10.3,No,Weight,37.5
32,No,3.2000003,Yes,Yoplait,37.5
33,No,9.5,No,Dannon,101.5
33,No,5.7999997,No,Hiland,101.5
33,No,10.3,No,Weight,101.5
33,No,10.8,Yes,Yoplait,101.5
34,No,9.5,No,Dannon,123
34,No,5.7999997,No,Hiland,123
34,No,10.3,No,Weight,123
34,No,10.8,Yes,Yoplait,123
35,No,8.6000004,No,Dannon,38.25
35,No,5.4000001,No,Hiland,38.25
35,No,7.9000006,No,Weight,38.25
35,No,5.5,Yes,Yoplait,38.25
36,No,8.6000004,No,Dannon,60.25
36,No,5.4000001,No,Hiland,60.25
36,No,7.9000006,No,Weight,60.25
36,No,8.2999992,Yes,Yoplait,60.25
37,No,8.6000004,No,Dannon,79
37,No,5.4000001,No,Hiland,79
37,No,7.9000006,No,Weight,79
37,No,8.2999992,Yes,Yoplait,79
38,No,8.6000004,No,Dannon,90
38,No,5.6000004,No,Hiland,90
38,Yes,6.3000002,No,Weight,90
38,No,11.5,Yes,Yoplait,90
39,No,8.6000004,No,Dannon,32.5
39,No,5.6000004,No,Hiland,32.5
39,Yes,6.3000002,No,Weight,32.5
39,No,3.2000003,Yes,Yoplait,32.5
40,No,8.6000004,No,Dannon,41
40,No,6.0999999,No,Hiland,41
40,Yes,6.3000002,Yes,Weight,41
40,No,11.5,No,Yoplait,41
41,No,5.5,Yes,Dannon,37.75
41,No,6.0999999,No,Hiland,37.75
41,No,6.4000001,No,Weight,37.75
41,No,11.5,No,Yoplait,37.75
42,No,6.3000002,Yes,Dannon,39.75
42,Yes,6.0999999,No,Hiland,39.75
42,No,7.9000006,No,Weight,39.75
42,No,11.5,No,Yoplait,39.75
43,No,3.0999999,Yes,Dannon,42.5
43,No,6.0999999,No,Hiland,42.5
43,Yes,6.3000002,No,Weight,42.5
43,No,4.1999998,No,Yoplait,42.5
44,No,8.1000004,No,Dannon,46.5
44,No,6.5999999,Yes,Hiland,46.5
44,No,7.9000006,No,Weight,46.5
44,No,11,No,Yoplait,46.5
45,No,8.1000004,No,Dannon,42.25
45,No,6.5999999,Yes,Hiland,42.25
45,No,7.9000006,No,Weight,42.25
45,No,11,No,Yoplait,42.25
46,No,8.1000004,Yes,Dannon,36
46,No,6.5999999,No,Hiland,36
46,No,7.9000006,No,Weight,36
46,No,13.500001,No,Yoplait,36
47,No,8.1000004,Yes,Dannon,33.25
47,No,6.5999999,No,Hiland,33.25
47,No,7.9000006,No,Weight,33.25
47,No,13.500001,No,Yoplait,33.25
48,No,8.1000004,No,Dannon,35.5
48,No,6.0999999,Yes,Hiland,35.5
48,No,7.9000006,No,Weight,35.5
48,No,11,No,Yoplait,35.5
49,No,8.1000004,No,Dannon,43.25
49,No,6.0999999,Yes,Hiland,43.25
49,No,7.9000006,No,Weight,43.25
49,No,11,No,Yoplait,43.25
50,No,8.1000004,No,Dannon,27.25
50,No,4.9000001,Yes,Hiland,27.25
50,No,7.9000006,No,Weight,27.25
50,No,10.3,No,Yoplait,27.25
51,No,8.6000004,Yes,Dannon,71
51,No,5,No,Hiland,71
51,No,7.9000006,No,Weight,71
51,No,10.8,No,Yoplait,71
52,No,8.6000004,Yes,Dannon,63.5
52,Yes,6.0999999,No,Hiland,63.5
52,No,7.9000006,No,Weight,63.5
52,No,11.2,No,Yoplait,63.5
53,No,8.6000004,No,Dannon,40.25
53,No,5.4000001,No,Hiland,40.25
53,No,7.9000006,No,Weight,40.25
53,No,2.5,Yes,Yoplait,40.25
54,No,8.6000004,No,Dannon,25
54,Yes,2.5,No,Hiland,25
54,No,7.9000006,No,Weight,25
54,No,5.7999997,Yes,Yoplait,25
55,No,8.6000004,No,Dannon,19.5
55,Yes,2.5,No,Hiland,19.5
55,No,7.9000006,No,Weight,19.5
55,No,5.7999997,Yes,Yoplait,19.5
56,No,8.6000004,No,Dannon,20.75
56,No,6.0999999,No,Hiland,20.75
56,Yes,6.3000002,Yes,Weight,20.75
56,No,11.5,No,Yoplait,20.75
57,No,1.8999999,Yes,Dannon,16.75
57,No,5.4000001,No,Hiland,16.75
57,No,7.9000006,No,Weight,16.75
57,No,11,No,Yoplait,16.75
58,No,9.7999992,No,Dannon,53.5
58,No,4.9000001,No,Hiland,53.5
58,No,7.9000006,No,Weight,53.5
58,No,10.3,Yes,Yoplait,53.5
59,No,9.7999992,No,Dannon,79.75
59,No,4.9000001,No,Hiland,79.75
59,No,7.9000006,No,Weight,79.75
59,No,10.3,Yes,Yoplait,79.75
60,No,9.7999992,No,Dannon,107.75
60,No,4.9000001,No,Hiland,107.75
60,No,7.9000006,No,Weight,107.75
60,No,10.3,Yes,Yoplait,107.75
61,No,8.6000004,Yes,Dannon,91
61,No,5.4000001,No,Hiland,91
61,No,7.9000006,No,Weight,91
61,No,10.8,No,Yoplait,91
62,No,8.6000004,Yes,Dannon,63.5
62,No,5.4000001,No,Hiland,63.5
62,No,7.9000006,No,Weight,63.5
62,No,10.8,No,Yoplait,63.5
63,No,8.6000004,Yes,Dannon,68
63,No,5.4000001,No,Hiland,68
63,No,7.9000006,No,Weight,68
63,No,10.8,No,Yoplait,68
64,No,8.6000004,No,Dannon,72
64,No,5.4000001,No,Hiland,72
64,No,7.9000006,No,Weight,72
64,No,10.8,Yes,Yoplait,72
65,No,8.6000004,No,Dannon,112
65,No,5.4000001,No,Hiland,112
65,No,7.9000006,No,Weight,112
65,No,10.8,Yes,Yoplait,112
66,No,8.6000004,Yes,Dannon,84
66,No,5.4000001,No,Hiland,84
66,No,7.9000006,No,Weight,84
66,No,10.8,No,Yoplait,84
67,No,8.6000004,Yes,Dannon,67.25
67,No,5.4000001,No,Hiland,67.25
67,No,7.9000006,No,Weight,67.25
67,No,10.8,No,Yoplait,67.25
68,No,8.6000004,Yes,Dannon,82.75
68,No,2.5,No,Hiland,82.75
68,No,7.9000006,No,Weight,82.75
68,No,10.8,No,Yoplait,82.75
69,No,8.6000004,Yes,Dannon,81.5
69,No,2.5,No,Hiland,81.5
69,No,7.9000006,No,Weight,81.5
69,No,10.8,No,Yoplait,81.5
70,No,8.6000004,Yes,Dannon,49
70,No,5,No,Hiland,49
70,No,8.6000004,No,Weight,49
70,No,12.2,No,Yoplait,49
71,No,8.6000004,No,Dannon,105.25
71,No,5,No,Hiland,105.25
71,No,8.6000004,No,Weight,105.25
71,No,12.5,Yes,Yoplait,105.25
72,No,8.6000004,No,Dannon,45.75
72,No,6.0999999,No,Hiland,45.75
72,Yes,7.4000001,Yes,Weight,45.75
72,No,11.5,No,Yoplait,45.75
73,No,8.6000004,No,Dannon,45
73,No,6.0999999,No,Hiland,45
73,Yes,7.4000001,Yes,Weight,45
73,No,11.5,No,Yoplait,45
74,No,6.8999996,No,Dannon,65.5
74,No,6.0999999,No,Hiland,65.5
74,No,8.6000004,Yes,Weight,65.5
74,No,10.8,No,Yoplait,65.5
75,No,6.8999996,No,Dannon,63.25
75,No,6.0999999,No,Hiland,63.25
75,No,8.6000004,Yes,Weight,63.25
75,No,10.8,No,Yoplait,63.25
76,No,5.0999999,No,Dannon,57.5
76,No,6.5999999,No,Hiland,57.5
76,No,8.6000004,Yes,Weight,57.5
76,No,11.5,No,Yoplait,57.5
77,No,5.0999999,No,Dannon,53.25
77,No,6.5999999,No,Hiland,53.25
77,No,8.6000004,Yes,Weight,53.25
77,No,11.5,No,Yoplait,53.25
78,No,8.1000004,No,Dannon,44
78,No,6.5999999,No,Hiland,44
78,No,8.1000004,Yes,Weight,44
78,No,11.5,No,Yoplait,44
79,No,8.1000004,No,Dannon,39.5
79,No,6.5999999,No,Hiland,39.5
79,No,8.1000004,Yes,Weight,39.5
79,No,11.5,No,Yoplait,39.5
