week,sold,price
1,2524,1.27
2,2635,1.27
3,2544,1.27
4,4661,1.37
5,2906,1.54
6,2031,1.54
7,2201,1.55
8,2462,1.54
9,2331,1.54
10,2578,1.54
11,2945,1.37
12,2412,1.54
13,5116,1.53
14,2553,1.53
15,1830,1.53
16,2031,1.53
17,3613,1.45
18,2535,1.53
19,2002,1.45
20,2117,1.45
21,2291,1.78
22,1995,1.78
23,2435,1.78
24,1863,1.78
25,2198,1.62
26,2113,1.62
27,1858,1.62
28,2503,1.58
29,1738,1.78
30,4065,1.78
31,1235,1.78
32,1523,1.79
33,1827,1.53
34,1545,1.53
35,1469,1.53
36,2594,1.53
37,1794,1.79
38,1838,1.78
39,1735,1.78
40,1627,1.78
41,1842,1.78
42,1850,1.78
43,1736,1.78
44,1906,1.78
45,1807,1.78
46,1746,1.78
47,1951,1.79
48,1787,1.78
49,1865,1.76
50,1693,1.79
51,1607,1.79
52,1624,1.79
53,2055,1.61
54,3375,1.59
55,1940,1.59
56,1887,1.61
57,1623,1.79
58,1540,1.79
59,1598,1.6900001
60,1833,1.6900001
61,2197,3
62,2443,3
63,1758,3
64,2657,3
65,1803,1.6900001
66,1963,1.6900001
67,1671,1.6900001
68,1727,1.6900001
69,10779,1.01
70,2537,1.29
71,2661,1.29
72,2698,1.29
73,7280,1.1900001
74,2998,1.1900001
75,2603,1.1900001
76,1727,1.67
77,1927,1.6900001
78,2333,1.58
79,2291,1.55
80,1733,1.59
81,1479,1.79
82,1504,1.79
83,1587,1.79
84,1841,1.79
85,1890,1.6900001
86,2080,1.6900001
87,2250,3
88,1889,1.79
89,1464,1.79
90,1598,1.79
91,1480,1.79
92,1326,1.79
93,1301,1.89
94,1399,1.89
95,1254,1.89
96,1382,1.89
97,1396,1.89
98,1381,1.89
99,1487,1.89
100,1466,1.89
101,1312,1.89
102,1441,1.89
103,1354,1.89
104,1304,1.89
105,3666,1.29
106,1701,1.73
107,1389,1.75
108,1333,1.89
109,1369,1.89
110,1680,1.89
111,1551,1.89
112,1456,1.86
113,1573,1.73
114,3067,1.49
115,1789,1.89
116,1293,1.89
117,1876,1.89
118,1706,1.89
119,1551,1.89
120,1699,1.84
121,3153,3.6700001
122,1732,3.6700001
123,1964,1.63
124,1835,1.66
