id,city,retailer,vol,price,store,loc,adv
7,HOUSTON,KROGER CO,6834,2.4811239,KROGER CO,HOUSTON,36.429691
11,DETROIT,KROGER CO,5505,2.7473209,KROGER CO,DETROIT,26.802931
16,DALLAS/FT. WORTH,KROGER CO,3201,2.9200251,KROGER CO,DALLAS/FT. WORTH,114.27092
27,ATLANTA,KROGER CO,4099,2.8931451,KROGER CO,ATLANTA,8.6103573
29,CINCINNATI,KROGER CO,5568,2.6869609,KROGER CO,CINCINNATI,27.402014
30,INDIANAPOLIS,KROGER CO,4134,2.665941,KROGER CO,INDIANAPOLIS,14.929144
41,NASHVILLE,KROGER CO,2669,2.8827281,KROGER CO,NASHVILLE,10.785745
60,LOUISVILLE,KROGER CO,2403,2.696629,KROGER CO,LOUISVILLE,9.2507553
65,"COLUMBUS,OH",KROGER CO,3352,2.6533411,KROGER CO,"COLUMBUS,OH",53.011688
87,ROANOKE (NEW),KROGER CO,4011,2.722513,KROGER CO,ROANOKE (NEW),20.222521
94,HOUSTON,KROGER CO,6847,2.4616621,KROGER CO,HOUSTON,125.50433
98,DETROIT,KROGER CO,4010,2.7466331,KROGER CO,DETROIT,80.313995
103,DALLAS/FT. WORTH,KROGER CO,3230,2.9195049,KROGER CO,DALLAS/FT. WORTH,33.85244
114,ATLANTA,KROGER CO,4651,2.968394,KROGER CO,ATLANTA,15.31469
116,CINCINNATI,KROGER CO,5091,2.653506,KROGER CO,CINCINNATI,27.97714
117,INDIANAPOLIS,KROGER CO,3524,2.662883,KROGER CO,INDIANAPOLIS,15.113009
128,NASHVILLE,KROGER CO,2439,2.8327179,KROGER CO,NASHVILLE,14.641219
147,LOUISVILLE,KROGER CO,3242,2.675509,KROGER CO,LOUISVILLE,29.997778
152,"COLUMBUS,OH",KROGER CO,11942,1.71998,KROGER CO,"COLUMBUS,OH",173.74023
174,ROANOKE (NEW),KROGER CO,4336,2.700876,KROGER CO,ROANOKE (NEW),20.055376
181,HOUSTON,KROGER CO,8010,2.44432,KROGER CO,HOUSTON,33.188801
185,DETROIT,KROGER CO,3945,2.7452469,KROGER CO,DETROIT,39.933632
190,DALLAS/FT. WORTH,KROGER CO,3082,2.919857,KROGER CO,DALLAS/FT. WORTH,65.512527
201,ATLANTA,KROGER CO,4090,2.9442539,KROGER CO,ATLANTA,11.11037
203,CINCINNATI,KROGER CO,5545,2.6532011,KROGER CO,CINCINNATI,16.634239
204,INDIANAPOLIS,KROGER CO,3378,2.678508,KROGER CO,INDIANAPOLIS,25.704828
