id,vol,disp,price,store,loc,adv
1,21374,0.162,2.57846,LUCKY,LOS ANGELES,21.545938
2,6427,0.12411257,3.7278669,RALPHS,LOS ANGELES,36.070633
3,17302,0.102,2.711421,VONS,LOS ANGELES,94.981972
4,13561,0.027591093,2.651206,DOMINICK,CHICAGO,80.377014
5,42774,0.090612732,1.986674,JEWEL,CHICAGO,398.19272
6,4498,0,2.386616,OMNI,CHICAGO,19.373775
7,6834,0.049018972,2.4811239,KROGER CO,HOUSTON,36.429691
8,3764,0,3.428268,RANDALLS,HOUSTON,52.475327
9,5112,0.30849999,2.538341,GIANT EAGLE,PITTSBURGH,36.171753
10,6676,0.13771179,2.5621631,FARMER JACKS,DETROIT,27.131798
11,5505,0,2.7473209,KROGER CO,DETROIT,26.802931
12,5884,0.021957105,2.653127,STOP N SHOP,CLEVELAND,14.786514
13,2588,0.152,3.5869401,NATIONAL SUPER,ST. LOUIS,16.459417
14,4890,0.152,3.297955,SCHNUCK MARKETS,ST. LOUIS,29.537663
15,3097,0.006361034,3.453665,ALBERTSONS,DALLAS/FT. WORTH,19.062002
16,3201,0,2.9200251,KROGER CO,DALLAS/FT. WORTH,114.27092
17,5986,0.169,2.666388,TOM THUMB,DALLAS/FT. WORTH,72.083443
18,2786,0,2.386935,SHAWS,BOSTON,23.538342
19,622,0,3.120579,STAR MARKET,BOSTON,2.8818393
20,2021,0,2.559624,STOP & SHOP,BOSTON,6.7903991
21,6041,0.039000001,3.7164381,LUCKY,SAN FRANCISCO,46.525581
22,3599,0,2.910253,KASH N KARRY,TAMPA/ST. PETE,26.571451
23,4271,0.023428058,3.0339501,PUBLIX,TAMPA/ST. PETE,41.437359
24,3656,0,2.796772,WINN DIXIE,TAMPA/ST. PETE,14.498553
25,7219,0.14650001,2.837374,KING SOOPERS INC,DENVER,38.159149
26,2897,0.071000002,3.6945119,ACME MARKET,PHILADELPHIA,19.92539
27,4099,0.02360975,2.8931451,KROGER CO,ATLANTA,8.6103573
28,2751,0.186,2.6397669,WINN DIXIE,ATLANTA,14.289864
29,5568,0,2.6869609,KROGER CO,CINCINNATI,27.402014
30,4134,0.025129853,2.665941,KROGER CO,INDIANAPOLIS,14.929144
31,1904,0.10369863,2.9406509,HOMELAND,OKLAHOMA CITY,3.8706124
32,1538,0.086999997,3.7197659,RALEYS,SACRAMENTO,11.108012
33,7362,0.1705,2.71122,LUCKY,SAN DIEGO,25.838123
34,1707,0.12131422,3.8090219,RALPHS,SAN DIEGO,22.233091
35,901,0.066,2.653718,SMITHS FOOD,SALT LAKE CITY,7.705431
36,1254,0,3.318979,SAFEWAY,PHOENIX,23.614151
37,7243,0,2.653182,FRY'S FOOD STORE,PHOENIX,45.894444
38,2139,0,2.6535759,SMITHS FOOD,PHOENIX,40.844566
39,9523,0.017158536,2.728657,PUBLIX,MIAMI,42.021278
40,8619,0.058211159,2.512356,WINN DIXIE,MIAMI,34.266617
41,2669,0.18000001,2.8827281,KROGER CO,NASHVILLE,10.785745
42,2977,0,2.5052071,WINN DIXIE,RALEIGH/GREENSBORO,27.377792
43,5030,0.023465481,2.652684,FOOD LION,RALEIGH/GREENSBORO,55.62249
44,778,0,3.0526991,PRICE CHOPPER,"ALBANY,NY",11.363068
45,4142,0,3.777885,GIANT FOOD INC,BALTI/WASH,11.042332
46,4512,0,3.3204789,SAFEWAY,BALTI/WASH,7.9102025
47,1069,0,3.5369501,SUPER FRESH,BALTI/WASH,43.281715
48,1598,0,3.0682099,KOHLS FOOD STORE,MILWAUKEE,7.3341775
49,5785,0,2.4070871,WINN DIXIE,NEW ORLEANS,72.850349
50,2084,0,3.235605,TOPS MARKETS,BUFFALO/ROCHESTER,9.4803171
