units,t
16.150999,1990 Jan
16.612,1990 Feb
18.806999,1990 Mar
19.771999,1990 Apr
20.054001,1990 May
21.5,1990 Jun
19.943001,1990 Jul
17.525999,1990 Aug
16.806,1990 Sep
17.719999,1990 Oct
14.429,1990 Nov
14.885,1990 Dec
16.530001,1991 Jan
17.775,1991 Feb
22.031,1991 Mar
22.551001,1991 Apr
22.176001,1991 May
23.795,1991 Jun
21.698999,1991 Jul
20.134001,1991 Aug
21.452,1991 Sep
23.356001,1991 Oct
22.716999,1991 Nov
19.631001,1991 Dec
18.499001,1992 Jan
19.739,1992 Feb
24.254999,1992 Mar
23.503,1992 Apr
26.24,1992 May
26.818001,1992 Jun
23.774,1992 Jul
23.502001,1992 Aug
22.554001,1992 Sep
25.181999,1992 Oct
24.218,1992 Nov
22.910999,1992 Dec
23.455,1993 Jan
23.627001,1993 Feb
28.927999,1993 Mar
27.372999,1993 Apr
28.570999,1993 May
27.867001,1993 Jun
26.066999,1993 Jul
25.025,1993 Aug
22.841999,1993 Sep
26.086,1993 Oct
23.218,1993 Nov
18.343,1993 Dec
18.437,1994 Jan
18.041,1994 Feb
21.789,1994 Mar
23.101999,1994 Apr
24.292999,1994 May
23.673,1994 Jun
24.273001,1994 Jul
23.923,1994 Aug
19.913,1994 Sep
20.773001,1994 Oct
18.002001,1994 Nov
16.086,1994 Dec
17.292999,1995 Jan
18.573999,1995 Feb
19.492001,1995 Mar
21.523001,1995 Apr
23.434999,1995 May
23.559,1995 Jun
23.875,1995 Jul
21.643999,1995 Aug
20.757,1995 Sep
23.476999,1995 Oct
20.177,1995 Nov
20.134001,1995 Dec
19.823,1996 Jan
21.357,1996 Feb
26.086,1996 Mar
26.979,1996 Apr
26.188,1996 May
27.687,1996 Jun
26.381001,1996 Jul
24.290001,1996 Aug
22.549,1996 Sep
23.83,1996 Oct
23.066,1996 Nov
23.173,1996 Dec
21.506001,1997 Jan
22.964001,1997 Feb
28.889,1997 Mar
28.468,1997 Apr
28.347,1997 May
29.59,1997 Jun
27.247,1997 Jul
27.818001,1997 Aug
24.77,1997 Sep
27.101,1997 Oct
25.094999,1997 Nov
23.681,1997 Dec
21.540001,1998 Jan
22.993,1998 Feb
29.855,1998 Mar
29.280001,1998 Apr
31.190001,1998 May
31.511999,1998 Jun
28.464001,1998 Jul
29.077999,1998 Aug
25.122,1998 Sep
28.257999,1998 Oct
26.573999,1998 Nov
24.250999,1998 Dec
24.757999,1999 Jan
25.106001,1999 Feb
30.735001,1999 Mar
29.214001,1999 Apr
29.712,1999 May
27.614,1999 Jun
25.787001,1999 Jul
27.881001,1999 Aug
23.909,1999 Sep
25.546,1999 Oct
22.872999,1999 Nov
21.135,1999 Dec
21.825001,2000 Jan
22.07,2000 Feb
22.761999,2000 Mar
21.027,2000 Apr
20.621,2000 May
21.308001,2000 Jun
22.971001,2000 Jul
21.305,2000 Aug
20.056,2000 Sep
22.084999,2000 Oct
19.299,2000 Nov
18.725,2000 Dec
19,2001 Jan
20.202999,2001 Feb
24.197001,2001 Mar
22.552,2001 Apr
21.726,2001 May
22.898001,2001 Jun
22.825001,2001 Jul
23.288,2001 Aug
21.253,2001 Sep
20.407,2001 Oct
18.431999,2001 Nov
18.245001,2001 Dec
16.628,2002 Jan
19.075001,2002 Feb
23.511999,2002 Mar
22.653999,2002 Apr
23.58,2002 May
21.792999,2002 Jun
