t,sales,lsales
1956 Jan,1254,21402
1956 Feb,1290,21487
1956 Mar,1379,21687
1956 Apr,1346,21615
1956 May,1535,22009
1956 Jun,1555,22048
1956 Jul,1655,22235
1956 Aug,1651,22227
1956 Sep,1500,21940
1956 Oct,1538,22015
1956 Nov,1486,21912
1956 Dec,1394,21720
1957 Jan,1409,21752
1957 Feb,1387,21705
1957 Mar,1543,22024
1957 Apr,1502,21944
1957 May,1693,22303
1957 Jun,1616,22163
1957 Jul,1841,22554
1957 Aug,1787,22465
1957 Sep,1631,22191
1957 Oct,1649,22224
1957 Nov,1586,22107
1957 Dec,1500,21940
1958 Jan,1497,21934
1958 Feb,1463,21865
1958 Mar,1648,22222
1958 Apr,1595,22124
1958 May,1777,22448
1958 Jun,1824,22526
1958 Jul,1994,22794
1958 Aug,1835,22544
1958 Sep,1787,22465
1958 Oct,1699,22313
1958 Nov,1633,22195
1958 Dec,1645,22216
1959 Jan,1597,22128
1959 Feb,1577,22090
1959 Mar,1709,22331
1959 Apr,1756,22412
1959 May,1936,22705
1959 Jun,2052,22880
1959 Jul,2105,22956
1959 Aug,2016,22827
1959 Sep,1914,22671
1959 Oct,1925,22688
1959 Nov,1824,22526
1959 Dec,1765,22428
1960 Jan,1721,22352
1960 Feb,1752,22406
1960 Mar,1914,22671
1960 Apr,1857,22580
1960 May,2159,23032
1960 Jun,2195,23082
1960 Jul,2287,23205
1960 Aug,2276,23191
1960 Sep,2096,22943
1960 Oct,2055,22884
1960 Nov,2004,22809
1960 Dec,1924,22686
1961 Jan,1851,22570
1961 Feb,1839,22551
1961 Mar,2019,22831
1961 Apr,1937,22707
1961 May,2270,23183
1961 Jun,2251,23157
1961 Jul,2382,23327
1961 Aug,2364,23304
1961 Sep,2129,22990
1961 Oct,2110,22963
1961 Nov,2072,22909
1961 Dec,1980,22773
1962 Jan,1995,22795
1962 Feb,1932,22699
1962 Mar,2171,23049
1962 Apr,2162,23036
1962 May,2489,23459
1962 Jun,2424,23380
1962 Jul,2641,23637
1962 Aug,2630,23624
