inv,inc,consump,t,sales
180,451,415,1990 Q1,6028.2783
179,465,421,1990 Q2,6042.6328
185,485,434,1990 Q3,6073.0444
192,493,448,1990 Q4,6104.793
211,509,459,1991 Q1,6129.0503
202,520,458,1991 Q2,6126.8691
207,521,479,1991 Q3,6171.7007
214,540,487,1991 Q4,6188.2637
231,548,497,1992 Q1,6208.5898
229,558,510,1992 Q2,6234.4106
234,574,516,1992 Q3,6246.1064
237,583,525,1992 Q4,6263.3979
206,591,529,1993 Q1,6270.9883
250,599,538,1993 Q2,6287.8584
259,610,546,1993 Q3,6302.6191
263,627,555,1993 Q4,6318.9683
264,642,574,1994 Q1,6352.6294
280,653,574,1994 Q2,6352.6294
282,660,586,1994 Q3,6373.3198
292,694,602,1994 Q4,6400.2578
286,709,617,1995 Q1,6424.8691
302,734,639,1995 Q2,6459.9048
304,751,653,1995 Q3,6481.5771
307,763,668,1995 Q4,6504.2881
317,766,679,1996 Q1,6520.6211
314,779,686,1996 Q2,6530.8774
306,808,697,1996 Q3,6546.7852
304,785,688,1996 Q4,6533.7886
292,794,704,1997 Q1,6556.7783
275,799,699,1997 Q2,6549.6509
273,799,709,1997 Q3,6563.8555
301,812,715,1997 Q4,6572.2822
280,837,724,1998 Q1,6584.791
289,853,746,1998 Q2,6614.7256
303,876,758,1998 Q3,6630.6836
322,897,779,1998 Q4,6658.0107
315,922,798,1999 Q1,6682.1084
339,949,816,1999 Q2,6704.4146
364,979,837,1999 Q3,6729.8242
371,988,858,1999 Q4,6754.604
375,1025,881,2000 Q1,6781.0576
432,1063,905,2000 Q2,6807.9346
453,1104,934,2000 Q3,6839.4766
460,1131,968,2000 Q4,6875.2324
475,1137,983,2001 Q1,6890.6094
496,1178,1013,2001 Q2,6920.6714
494,1211,1034,2001 Q3,6941.1904
498,1256,1064,2001 Q4,6969.7905
526,1290,1101,2002 Q1,7003.9741
519,1314,1102,2002 Q2,7004.8818
516,1346,1145,2002 Q3,7043.1602
531,1385,1173,2002 Q4,7067.3198
573,1416,1216,2003 Q1,7103.3223
551,1436,1229,2003 Q2,7113.9561
538,1462,1242,2003 Q3,7124.4785
532,1493,1267,2003 Q4,7144.4072
558,1516,1295,2004 Q1,7166.2661
524,1557,1317,2004 Q2,7183.1118
525,1613,1355,2004 Q3,7211.5571
519,1642,1371,2004 Q4,7223.2959
526,1690,1402,2005 Q1,7245.6553
510,1759,1452,2005 Q2,7280.6973
519,1756,1485,2005 Q3,7303.1704
538,1780,1516,2005 Q4,7323.8306
549,1807,1549,2006 Q1,7345.3652
570,1831,1567,2006 Q2,7356.9185
559,1873,1588,2006 Q3,7370.2305
584,1897,1631,2006 Q4,7396.9487
611,1910,1650,2007 Q1,7408.5308
597,1943,1685,2007 Q2,7429.5205
603,1976,1722,2007 Q3,7451.2417
619,2018,1752,2007 Q4,7468.5137
635,2040,1774,2008 Q1,7480.9922
658,2070,1807,2008 Q2,7499.4233
675,2121,1831,2008 Q3,7512.6177
700,2132,1842,2008 Q4,7518.6069
692,2199,1890,2009 Q1,7544.332
759,2253,1958,2009 Q2,7579.6792
782,2276,1948,2009 Q3,7574.5581
816,2318,1994,2009 Q4,7597.8979
844,2369,2061,2010 Q1,7630.9468
830,2423,2056,2010 Q2,7628.5176
853,2457,2102,2010 Q3,7650.645
852,2470,2121,2010 Q4,7659.6431
833,2521,2145,2011 Q1,7670.8945
860,2545,2164,2011 Q2,7679.7139
870,2580,2206,2011 Q3,7698.936
830,2620,2225,2011 Q4,7707.5122
801,2639,2235,2012 Q1,7711.9966
824,2618,2237,2012 Q2,7712.8911
831,2628,2250,2012 Q3,7718.6855
830,2651,2271,2012 Q4,7727.9756
