t,fsales
2000 Jan,12.511462
2000 Feb,7.4571991
2000 Mar,8.5911913
2000 Apr,8.474
2000 May,9.3868027
2000 Jun,9.5603991
2000 Jul,10.834295
2000 Aug,10.643751
2000 Sep,9.9081621
2000 Oct,11.710041
2000 Nov,11.340151
2000 Dec,12.079132
2001 Jan,14.497581
2001 Feb,8.0492754
2001 Mar,10.312891
2001 Apr,9.7533579
2001 May,10.850382
2001 Jun,9.9617186
2001 Jul,11.443601
2001 Aug,11.659239
2001 Sep,10.64706
2001 Oct,12.652134
2001 Nov,13.674466
2001 Dec,12.965735
2002 Jan,16.300268
2002 Feb,9.0534849
2002 Mar,10.002449
2002 Apr,10.78875
2002 May,12.106705
2002 Jun,10.954101
2002 Jul,12.844566
2002 Aug,12.1965
2002 Sep,12.854748
2002 Oct,13.542004
2002 Nov,13.28764
2002 Dec,15.134918
2003 Jan,16.82835
2003 Feb,9.8002148
2003 Mar,10.816994
2003 Apr,10.654223
2003 May,12.512323
2003 Jun,12.16121
2003 Jul,12.998046
2003 Aug,12.517276
2003 Sep,13.268658
2003 Oct,14.733622
2003 Nov,13.669382
2003 Dec,16.503965
2004 Jan,18.003769
2004 Feb,11.93803
2004 Mar,12.9979
2004 Apr,12.882645
2004 May,13.943447
2004 Jun,13.989472
2004 Jul,15.339097
2004 Aug,15.370764
2004 Sep,16.142006
2004 Oct,16.685755
2004 Nov,17.636728
2004 Dec,18.869326
2005 Jan,20.778723
2005 Feb,12.154552
2005 Mar,13.402392
2005 Apr,14.459239
2005 May,14.795102
2005 Jun,15.705248
2005 Jul,15.82955
2005 Aug,17.554701
2005 Sep,18.100864
2005 Oct,17.496668
2005 Nov,19.347265
2005 Dec,20.03129
2006 Jan,23.486694
2006 Feb,12.536987
2006 Mar,15.467018
2006 Apr,14.233539
2006 May,17.783058
2006 Jun,16.291601
2006 Jul,16.980282
2006 Aug,18.612188
2006 Sep,16.623343
2006 Oct,21.430241
2006 Nov,23.575518
2006 Dec,23.334206
2007 Jan,28.038383
2007 Feb,16.763868
2007 Mar,19.792753
2007 Apr,16.427305
2007 May,21.000742
2007 Jun,20.681002
2007 Jul,21.83489
2007 Aug,23.930204
2007 Sep,22.930357
2007 Oct,23.26334
2007 Nov,25.250031
2007 Dec,25.806089
2008 Jan,29.665356
2008 Feb,21.654285
2008 Mar,18.264944
2008 Apr,23.107677
2008 May,22.91251
2008 Jun,19.43174
