t,sales
2005 Jan,25771
2005 Feb,25832
2005 Mar,26009
2005 Apr,26052
2005 May,26330
2005 Jun,26472
2005 Jul,26573
2005 Aug,26463
2005 Sep,26233
2005 Oct,26274
2005 Nov,26068
2005 Dec,26077
2006 Jan,25981
2006 Feb,26042
2006 Mar,26277
2006 Apr,26180
2006 May,26504
2006 Jun,26646
2006 Jul,26808
2006 Aug,26800
2006 Sep,26599
2006 Oct,26492
2006 Nov,26296
2006 Dec,26309
2007 Jan,26185
2007 Feb,26167
2007 Mar,26437
2007 Apr,26325
2007 May,26692
2007 Jun,26871
2007 Jul,27025
2007 Aug,26881
2007 Sep,26691
2007 Oct,26420
2007 Nov,26431
2007 Dec,26440
2008 Jan,26363
2008 Feb,26305
2008 Mar,26606
2008 Apr,26504
2008 May,26840
2008 Jun,26992
2008 Jul,27163
2008 Aug,27103
2008 Sep,26789
2008 Oct,26727
2008 Nov,26609
2008 Dec,26512
2009 Jan,26594
2009 Feb,26483
2009 Mar,26738
2009 Apr,26622
2009 May,27058
2009 Jun,27050
2009 Jul,27307
2009 Aug,27312
2009 Sep,26971
2009 Oct,26928
2009 Nov,26772
2009 Dec,26720
2010 Jan,26714
2010 Feb,26733
2010 Mar,26895
2010 Apr,26778
2010 May,27064
2010 Jun,27216
2010 Jul,27473
2010 Aug,27306
2010 Sep,27047
2010 Oct,27038
2010 Nov,26934
2010 Dec,26961
2011 Jan,26899
2011 Feb,26776
2011 Mar,27066
2011 Apr,26961
2011 May,27295
2011 Jun,27439
2011 Jul,27654
2011 Aug,27569
2011 Sep,27133
2011 Oct,27169
2011 Nov,27017
2011 Dec,27024
2012 Jan,27023
2012 Feb,26925
2012 Mar,27181
2012 Apr,26988
2012 May,27374
2012 Jun,27593
2012 Jul,27771
2012 Aug,27412
2012 Sep,27254
2012 Oct,27212
2012 Nov,27101
2012 Dec,27069
2013 Jan,26940
2013 Feb,26962
2013 Mar,27228
2013 Apr,27107
2013 May,27353
2013 Jun,27562
2013 Jul,27737
2013 Aug,27585
2013 Sep,27342
2013 Oct,27362
2013 Nov,27248
2013 Dec,27227
2014 Jan,27141
2014 Feb,27246
2014 Mar,27431
2014 Apr,27246
2014 May,27653
2014 Jun,27683
2014 Jul,28005
2014 Aug,27846
2014 Sep,27572
2014 Oct,27552
2014 Nov,27437
2014 Dec,27395
2015 Jan,27448
2015 Feb,27257
2015 Mar,27595
2015 Apr,27434
2015 May,27800
2015 Jun,27889
2015 Jul,28099
2015 Aug,27992
2015 Sep,27693
2015 Oct,27694
2015 Nov,27547
2015 Dec,27546
2016 Jan,27584
2016 Feb,27448
2016 Mar,27709
2016 Apr,27622
2016 May,27862
2016 Jun,27983
2016 Jul,28219
2016 Aug,28071
2016 Sep,27819
2016 Oct,27810
2016 Nov,27662
2016 Dec,27734
