units,t
200.10001,2000 Jan
199.5,2000 Feb
199.39999,2000 Mar
198.89999,2000 Apr
199,2000 May
200.2,2000 Jun
198.60001,2000 Jul
200,2000 Aug
200.3,2000 Sep
201.2,2000 Oct
201.60001,2000 Nov
201.5,2000 Dec
201.5,2001 Jan
203.5,2001 Feb
204.89999,2001 Mar
207.10001,2001 Apr
210.5,2001 May
210.5,2001 Jun
209.8,2001 Jul
208.8,2001 Aug
209.5,2001 Sep
213.2,2001 Oct
213.7,2001 Nov
215.10001,2001 Dec
218.7,2002 Jan
219.8,2002 Feb
220.5,2002 Mar
223.8,2002 Apr
222.8,2002 May
223.8,2002 Jun
221.7,2002 Jul
222.3,2002 Aug
220.8,2002 Sep
219.39999,2002 Oct
220.10001,2002 Nov
220.60001,2002 Dec
218.89999,2003 Jan
217.8,2003 Feb
217.7,2003 Mar
215,2003 Apr
215.3,2003 May
215.89999,2003 Jun
216.7,2003 Jul
216.7,2003 Aug
217.7,2003 Sep
218.7,2003 Oct
222.89999,2003 Nov
224.89999,2003 Dec
222.2,2004 Jan
220.7,2004 Feb
220,2004 Mar
218.7,2004 Apr
217,2004 May
215.89999,2004 Jun
215.8,2004 Jul
214.10001,2004 Aug
212.3,2004 Sep
213.89999,2004 Oct
214.60001,2004 Nov
213.60001,2004 Dec
212.10001,2005 Jan
211.39999,2005 Feb
213.10001,2005 Mar
212.89999,2005 Apr
213.3,2005 May
211.5,2005 Jun
212.3,2005 Jul
213,2005 Aug
211,2005 Sep
210.7,2005 Oct
210.10001,2005 Nov
211.39999,2005 Dec
210,2006 Jan
209.7,2006 Feb
208.8,2006 Mar
208.8,2006 Apr
208.8,2006 May
210.60001,2006 Jun
211.89999,2006 Jul
212.8,2006 Aug
212.5,2006 Sep
214.8,2006 Oct
215.3,2006 Nov
217.5,2006 Dec
218.8,2007 Jan
220.7,2007 Feb
222.2,2007 Mar
226.7,2007 Apr
228.39999,2007 May
233.2,2007 Jun
235.7,2007 Jul
237.10001,2007 Aug
240.60001,2007 Sep
243.8,2007 Oct
245.3,2007 Nov
246,2007 Dec
246.3,2008 Jan
247.7,2008 Feb
247.60001,2008 Mar
247.8,2008 Apr
249.39999,2008 May
249,2008 Jun
249.89999,2008 Jul
250.5,2008 Aug
251.5,2008 Sep
249,2008 Oct
247.60001,2008 Nov
248.8,2008 Dec
250.39999,2009 Jan
250.7,2009 Feb
253,2009 Mar
253.7,2009 Apr
255,2009 May
256.20001,2009 Jun
256,2009 Jul
257.39999,2009 Aug
260.39999,2009 Sep
260,2009 Oct
261.29999,2009 Nov
260.39999,2009 Dec
261.60001,2010 Jan
260.79999,2010 Feb
259.79999,2010 Mar
259,2010 Apr
258.89999,2010 May
257.39999,2010 Jun
257.70001,2010 Jul
257.89999,2010 Aug
257.39999,2010 Sep
257.29999,2010 Oct
257.60001,2010 Nov
258.89999,2010 Dec
257.79999,2011 Jan
257.70001,2011 Feb
257.20001,2011 Mar
257.5,2011 Apr
256.79999,2011 May
257.5,2011 Jun
257,2011 Jul
257.60001,2011 Aug
257.29999,2011 Sep
257.5,2011 Oct
259.60001,2011 Nov
261.10001,2011 Dec
262.89999,2012 Jan
263.29999,2012 Feb
262.79999,2012 Mar
261.79999,2012 Apr
262.20001,2012 May
262.70001,2012 Jun
