t,fsales,sales,train
2000m1,12.511462,12.511462,1
2000m2,7.4571991,7.4571991,1
2000m3,8.5911913,8.5911913,1
2000m4,8.474,8.474,1
2000m5,9.3868027,9.3868027,1
2000m6,9.5603991,9.5603991,1
2000m7,10.834295,10.834295,1
2000m8,10.643751,10.643751,1
2000m9,9.9081621,9.9081621,1
2000m10,11.710041,11.710041,1
2000m11,11.340151,11.340151,1
2000m12,12.079132,12.079132,1
2001m1,14.497581,14.497581,1
2001m2,8.0492754,8.0492754,1
2001m3,10.312891,10.312891,1
2001m4,9.7533579,9.7533579,1
2001m5,10.850382,10.850382,1
2001m6,9.9617186,9.9617186,1
2001m7,11.443601,11.443601,1
2001m8,11.659239,11.659239,1
2001m9,10.64706,10.64706,1
2001m10,12.652134,12.652134,1
2001m11,13.674466,13.674466,1
2001m12,12.965735,12.965735,1
2002m1,16.300268,16.300268,1
2002m2,9.0534849,9.0534849,1
2002m3,10.002449,10.002449,1
2002m4,10.78875,10.78875,1
2002m5,12.106705,12.106705,1
2002m6,10.954101,10.954101,1
2002m7,12.844566,12.844566,1
2002m8,12.1965,12.1965,1
2002m9,12.854748,12.854748,1
2002m10,13.542004,13.542004,1
2002m11,13.28764,13.28764,1
2002m12,15.134918,15.134918,1
2003m1,16.82835,16.82835,1
2003m2,9.8002148,9.8002148,1
2003m3,10.816994,10.816994,1
2003m4,10.654223,10.654223,1
2003m5,12.512323,12.512323,1
2003m6,12.16121,12.16121,1
2003m7,12.998046,12.998046,1
2003m8,12.517276,12.517276,1
2003m9,13.268658,13.268658,1
2003m10,14.733622,14.733622,1
2003m11,13.669382,13.669382,1
2003m12,16.503965,16.503965,1
2004m1,18.003769,18.003769,1
2004m2,11.93803,11.93803,1
2004m3,12.9979,12.9979,1
2004m4,12.882645,12.882645,1
2004m5,13.943447,13.943447,1
2004m6,13.989472,13.989472,1
2004m7,15.339097,15.339097,1
2004m8,15.370764,15.370764,1
2004m9,16.142006,16.142006,1
2004m10,16.685755,16.685755,1
2004m11,17.636728,17.636728,1
2004m12,18.869326,18.869326,1
2005m1,20.778723,20.778723,1
2005m2,12.154552,12.154552,1
2005m3,13.402392,13.402392,1
2005m4,14.459239,14.459239,1
2005m5,14.795102,14.795102,1
2005m6,15.705248,15.705248,1
2005m7,15.82955,15.82955,1
2005m8,17.554701,17.554701,1
2005m9,18.100864,18.100864,1
2005m10,17.496668,17.496668,1
2005m11,19.347265,19.347265,1
2005m12,20.03129,20.03129,1
2006m1,23.486694,23.486694,1
2006m2,12.536987,12.536987,1
2006m3,15.467018,15.467018,1
2006m4,14.233539,14.233539,1
2006m5,17.783058,17.783058,1
2006m6,16.291601,16.291601,1
2006m7,16.980282,16.980282,1
2006m8,18.612188,18.612188,1
2006m9,16.623343,16.623343,1
2006m10,21.430241,21.430241,1
2006m11,23.575518,23.575518,1
2006m12,23.334206,23.334206,1
2007m1,28.038383,28.038383,1
2007m2,16.763868,16.763868,1
2007m3,19.792753,19.792753,1
2007m4,16.427305,16.427305,1
2007m5,21.000742,21.000742,1
2007m6,20.681002,20.681002,1
2007m7,21.83489,,0
2007m8,23.930204,,0
2007m9,22.930357,,0
2007m10,23.26334,,0
2007m11,25.250031,,0
2007m12,25.806089,,0
2008m1,29.665356,,0
2008m2,21.654285,,0
2008m3,18.264944,,0
2008m4,23.107677,,0
2008m5,22.91251,,0
2008m6,19.43174,,0
