caseid,bundle,value,airline,connect,price,inc
1,1,86,SW,None,$300,96
1,2,11,SW,One,$450,96
1,3,0,SW,None,$600,96
1,4,62,Delta,One,$300,96
1,5,39,Delta,None,$450,96
1,6,28,Delta,None,$600,96
1,7,89,Spirit,None,$300,96
1,8,69,Spirit,None,$450,96
1,9,10,Spirit,One,$600,96
2,1,100,SW,None,$300,57
2,2,60,SW,One,$450,57
2,3,15,SW,None,$600,57
2,4,75,Delta,One,$300,57
2,5,60,Delta,None,$450,57
2,6,15,Delta,None,$600,57
2,7,95,Spirit,None,$300,57
2,8,50,Spirit,None,$450,57
2,9,10,Spirit,One,$600,57
3,1,35,SW,None,$300,111
3,2,30,SW,One,$450,111
3,3,11,SW,None,$600,111
3,4,74,Delta,One,$300,111
3,5,56,Delta,None,$450,111
3,6,21,Delta,None,$600,111
3,7,68,Spirit,None,$300,111
3,8,27,Spirit,None,$450,111
3,9,15,Spirit,One,$600,111
4,1,50,SW,None,$300,115
4,2,56,SW,One,$450,115
4,3,50,SW,None,$600,115
4,4,50,Delta,One,$300,115
4,5,50,Delta,None,$450,115
4,6,50,Delta,None,$600,115
4,7,50,Spirit,None,$300,115
4,8,50,Spirit,None,$450,115
4,9,50,Spirit,One,$600,115
5,1,100,SW,None,$300,116
5,2,70,SW,One,$450,116
5,3,0,SW,None,$600,116
5,4,100,Delta,One,$300,116
5,5,30,Delta,None,$450,116
5,6,0,Delta,None,$600,116
5,7,0,Spirit,None,$300,116
5,8,0,Spirit,None,$450,116
5,9,0,Spirit,One,$600,116
6,1,90,SW,None,$300,64
6,2,0,SW,One,$450,64
6,3,0,SW,None,$600,64
6,4,92,Delta,One,$300,64
6,5,0,Delta,None,$450,64
6,6,0,Delta,None,$600,64
6,7,100,Spirit,None,$300,64
6,8,0,Spirit,None,$450,64
6,9,0,Spirit,One,$600,64
7,1,80,SW,None,$300,69
7,2,3,SW,One,$450,69
7,3,32,SW,None,$600,69
7,4,0,Delta,One,$300,69
7,5,70,Delta,None,$450,69
7,6,40,Delta,None,$600,69
7,7,100,Spirit,None,$300,69
7,8,80,Spirit,None,$450,69
7,9,0,Spirit,One,$600,69
8,1,100,SW,None,$300,95
8,2,60,SW,One,$450,95
8,3,35,SW,None,$600,95
8,4,40,Delta,One,$300,95
8,5,50,Delta,None,$450,95
8,6,25,Delta,None,$600,95
8,7,65,Spirit,None,$300,95
8,8,50,Spirit,None,$450,95
8,9,0,Spirit,One,$600,95
9,1,10,SW,None,$300,30
9,2,0,SW,One,$450,30
9,3,0,SW,None,$600,30
9,4,11,Delta,One,$300,30
9,5,0,Delta,None,$450,30
9,6,0,Delta,None,$600,30
9,7,10,Spirit,None,$300,30
9,8,0,Spirit,None,$450,30
9,9,0,Spirit,One,$600,30
10,1,44,SW,None,$300,106
10,2,22,SW,One,$450,106
10,3,0,SW,None,$600,106
10,4,86,Delta,One,$300,106
10,5,73,Delta,None,$450,106
10,6,45,Delta,None,$600,106
10,7,31,Spirit,None,$300,106
10,8,0,Spirit,None,$450,106
10,9,0,Spirit,One,$600,106
11,1,88,SW,None,$300,82
11,2,35,SW,One,$450,82
11,3,6,SW,None,$600,82
11,4,53,Delta,One,$300,82
11,5,60,Delta,None,$450,82
11,6,0,Delta,None,$600,82
11,7,87,Spirit,None,$300,82
11,8,71,Spirit,None,$450,82
11,9,0,Spirit,One,$600,82
12,1,100,SW,None,$300,90
12,2,71,SW,One,$450,90
12,3,91,SW,None,$600,90
