,id,feat,price,choice,brand,income
1,1,0,8.1,0,Dannon,51.5
2,1,0,6.1,0,Hiland,51.5
3,1,0,7.9,1,Weight,51.5
4,1,0,10.8,0,Yoplait,51.5
5,2,0,9.8,1,Dannon,64.75
6,2,0,6.4,0,Hiland,64.75
7,2,0,7.5,0,Weight,64.75
8,2,0,10.8,0,Yoplait,64.75
9,3,0,9.8,1,Dannon,68.75
10,3,0,6.1,0,Hiland,68.75
11,3,0,8.6,0,Weight,68.75
12,3,0,10.8,0,Yoplait,68.75
17,5,0,9.8,1,Dannon,59.25
18,5,0,4.9,0,Hiland,59.25
19,5,0,7.9,0,Weight,59.25
20,5,0,12.5,0,Yoplait,59.25
21,6,0,9.2,1,Dannon,61.5
22,6,0,5,0,Hiland,61.5
23,6,0,7.9,0,Weight,61.5
24,6,0,10.8,0,Yoplait,61.5
25,7,0,8.1,1,Dannon,55
26,7,0,4.9,0,Hiland,55
27,7,0,7.9,0,Weight,55
28,7,0,10.3,0,Yoplait,55
29,8,0,8.6,0,Dannon,61.75
30,8,0,5.4,0,Hiland,61.75
31,8,0,7.9,1,Weight,61.75
32,8,0,10.8,0,Yoplait,61.75
33,9,0,9.8,0,Dannon,99.75
34,9,0,5,0,Hiland,99.75
35,9,0,7.9,0,Weight,99.75
36,9,0,10.8,1,Yoplait,99.75
37,10,0,9.8,0,Dannon,102
38,10,0,5,0,Hiland,102
39,10,0,7.9,0,Weight,102
40,10,0,10.8,1,Yoplait,102
45,12,0,9.8,0,Dannon,82.25
46,12,0,5,0,Hiland,82.25
47,12,0,7.9,0,Weight,82.25
48,12,0,10.8,1,Yoplait,82.25
49,13,0,8.1,0,Dannon,74.75
50,13,0,5,0,Hiland,74.75
51,13,0,8.6,1,Weight,74.75
52,13,0,10.8,0,Yoplait,74.75
53,14,0,8.1,0,Dannon,57.5
54,14,0,5,0,Hiland,57.5
55,14,0,8.6,1,Weight,57.5
56,14,0,10.8,0,Yoplait,57.5
65,17,0,8.1,0,Dannon,65
66,17,0,5,0,Hiland,65
67,17,0,7.9,1,Weight,65
68,17,0,10.8,0,Yoplait,65
69,18,0,8.1,0,Dannon,52.75
70,18,0,5,0,Hiland,52.75
71,18,0,7.9,1,Weight,52.75
72,18,0,10.8,0,Yoplait,52.75
73,19,0,8.1,0,Dannon,65.5
74,19,0,5,0,Hiland,65.5
75,19,0,7.9,1,Weight,65.5
76,19,0,10.8,0,Yoplait,65.5
89,23,0,8.1,0,Dannon,58.25
90,23,0,5,0,Hiland,58.25
91,23,0,7.9,1,Weight,58.25
92,23,0,10.8,0,Yoplait,58.25
93,24,0,8.1,0,Dannon,42.5
94,24,0,5,0,Hiland,42.5
95,24,0,8.1,1,Weight,42.5
96,24,0,10.8,0,Yoplait,42.5
97,25,0,8.1,0,Dannon,46.75
98,25,0,5,0,Hiland,46.75
99,25,0,7.9,1,Weight,46.75
100,25,0,11.2,0,Yoplait,46.75
101,26,0,8.1,0,Dannon,57
102,26,0,5,0,Hiland,57
103,26,0,7.9,1,Weight,57
104,26,0,11.2,0,Yoplait,57
105,27,0,8.1,0,Dannon,63
106,27,0,5,0,Hiland,63
107,27,0,7.9,1,Weight,63
108,27,0,11.2,0,Yoplait,63
113,29,0,4.9,1,Dannon,19.5
114,29,0,6.1,0,Hiland,19.5
115,29,0,7.9,0,Weight,19.5
116,29,0,11,0,Yoplait,19.5
121,31,0,4.4,1,Dannon,41.75
122,31,0,4.9,0,Hiland,41.75
123,31,0,7.9,0,Weight,41.75
124,31,0,10.3,0,Yoplait,41.75
125,32,0,9.5,0,Dannon,37.5
126,32,0,5.8,0,Hiland,37.5
127,32,0,10.3,0,Weight,37.5
128,32,0,3.2,1,Yoplait,37.5
129,33,0,9.5,0,Dannon,101.5
130,33,0,5.8,0,Hiland,101.5
131,33,0,10.3,0,Weight,101.5
132,33,0,10.8,1,Yoplait,101.5
133,34,0,9.5,0,Dannon,123
134,34,0,5.8,0,Hiland,123
135,34,0,10.3,0,Weight,123
136,34,0,10.8,1,Yoplait,123
137,35,0,8.6,0,Dannon,38.25
138,35,0,5.4,0,Hiland,38.25
139,35,0,7.9,0,Weight,38.25
140,35,0,5.5,1,Yoplait,38.25
145,37,0,8.6,0,Dannon,79
146,37,0,5.4,0,Hiland,79
147,37,0,7.9,0,Weight,79
148,37,0,8.3,1,Yoplait,79
149,38,0,8.6,0,Dannon,90
150,38,0,5.6,0,Hiland,90
151,38,1,6.3,0,Weight,90
152,38,0,11.5,1,Yoplait,90
153,39,0,8.6,0,Dannon,32.5
154,39,0,5.6,0,Hiland,32.5
155,39,1,6.3,0,Weight,32.5
156,39,0,3.2,1,Yoplait,32.5
157,40,0,8.6,0,Dannon,41
158,40,0,6.1,0,Hiland,41
159,40,1,6.3,1,Weight,41
160,40,0,11.5,0,Yoplait,41
161,41,0,5.5,1,Dannon,37.75
162,41,0,6.1,0,Hiland,37.75
163,41,0,6.4,0,Weight,37.75
164,41,0,11.5,0,Yoplait,37.75
165,42,0,6.3,1,Dannon,39.75
166,42,1,6.1,0,Hiland,39.75
167,42,0,7.9,0,Weight,39.75
168,42,0,11.5,0,Yoplait,39.75
177,45,0,8.1,0,Dannon,42.25
178,45,0,6.6,1,Hiland,42.25
179,45,0,7.9,0,Weight,42.25
180,45,0,11,0,Yoplait,42.25
181,46,0,8.1,1,Dannon,36
182,46,0,6.6,0,Hiland,36
183,46,0,7.9,0,Weight,36
184,46,0,13.5,0,Yoplait,36
185,47,0,8.1,1,Dannon,33.25
186,47,0,6.6,0,Hiland,33.25
187,47,0,7.9,0,Weight,33.25
188,47,0,13.5,0,Yoplait,33.25
189,48,0,8.1,0,Dannon,35.5
190,48,0,6.1,1,Hiland,35.5
191,48,0,7.9,0,Weight,35.5
192,48,0,11,0,Yoplait,35.5
197,50,0,8.1,0,Dannon,27.25
198,50,0,4.9,1,Hiland,27.25
199,50,0,7.9,0,Weight,27.25
200,50,0,10.3,0,Yoplait,27.25
201,51,0,8.6,1,Dannon,71
202,51,0,5,0,Hiland,71
203,51,0,7.9,0,Weight,71
204,51,0,10.8,0,Yoplait,71
205,52,0,8.6,1,Dannon,63.5
206,52,1,6.1,0,Hiland,63.5
207,52,0,7.9,0,Weight,63.5
208,52,0,11.2,0,Yoplait,63.5
209,53,0,8.6,0,Dannon,40.25
210,53,0,5.4,0,Hiland,40.25
211,53,0,7.9,0,Weight,40.25
212,53,0,2.5,1,Yoplait,40.25
213,54,0,8.6,0,Dannon,25
214,54,1,2.5,0,Hiland,25
215,54,0,7.9,0,Weight,25
216,54,0,5.8,1,Yoplait,25
221,56,0,8.6,0,Dannon,20.75
222,56,0,6.1,0,Hiland,20.75
223,56,1,6.3,1,Weight,20.75
224,56,0,11.5,0,Yoplait,20.75
225,57,0,1.9,1,Dannon,16.75
226,57,0,5.4,0,Hiland,16.75
227,57,0,7.9,0,Weight,16.75
228,57,0,11,0,Yoplait,16.75
237,60,0,9.8,0,Dannon,107.75
238,60,0,4.9,0,Hiland,107.75
239,60,0,7.9,0,Weight,107.75
240,60,0,10.3,1,Yoplait,107.75
241,61,0,8.6,1,Dannon,91
242,61,0,5.4,0,Hiland,91
243,61,0,7.9,0,Weight,91
244,61,0,10.8,0,Yoplait,91
245,62,0,8.6,1,Dannon,63.5
246,62,0,5.4,0,Hiland,63.5
247,62,0,7.9,0,Weight,63.5
248,62,0,10.8,0,Yoplait,63.5
249,63,0,8.6,1,Dannon,68
250,63,0,5.4,0,Hiland,68
251,63,0,7.9,0,Weight,68
252,63,0,10.8,0,Yoplait,68
257,65,0,8.6,0,Dannon,112
258,65,0,5.4,0,Hiland,112
259,65,0,7.9,0,Weight,112
260,65,0,10.8,1,Yoplait,112
261,66,0,8.6,1,Dannon,84
262,66,0,5.4,0,Hiland,84
263,66,0,7.9,0,Weight,84
264,66,0,10.8,0,Yoplait,84
269,68,0,8.6,1,Dannon,82.75
270,68,0,2.5,0,Hiland,82.75
271,68,0,7.9,0,Weight,82.75
272,68,0,10.8,0,Yoplait,82.75
273,69,0,8.6,1,Dannon,81.5
274,69,0,2.5,0,Hiland,81.5
275,69,0,7.9,0,Weight,81.5
276,69,0,10.8,0,Yoplait,81.5
277,70,0,8.6,1,Dannon,49
278,70,0,5,0,Hiland,49
279,70,0,8.6,0,Weight,49
280,70,0,12.2,0,Yoplait,49
281,71,0,8.6,0,Dannon,105.25
282,71,0,5,0,Hiland,105.25
283,71,0,8.6,0,Weight,105.25
284,71,0,12.5,1,Yoplait,105.25
285,72,0,8.6,0,Dannon,45.75
286,72,0,6.1,0,Hiland,45.75
287,72,1,7.4,1,Weight,45.75
288,72,0,11.5,0,Yoplait,45.75
289,73,0,8.6,0,Dannon,45
290,73,0,6.1,0,Hiland,45
291,73,1,7.4,1,Weight,45
292,73,0,11.5,0,Yoplait,45
